screen_name,message,created_at,tweet_id,ollama_kw1,ollama_kw2,ollama_kw3,ollama_kw4,ollama_kw5
reprichhudson,"Enjoyed welcoming @VP to @FtBraggNC. Whether it's strengthening opportunities for #MilSpouses, ensuring troops are ready, or caring for veterans, this Admin has shown unparalleled support for our military. I’ll continue to work hand-in-hand w/ @VP &amp; @POTUS on these priorities. https://t.co/BotwjJdnF2",Thu Jul 18 13:53:43 +0000 2019,1151852551740018689,military spouse,troop readiness,veteran care,,
reprichhudson,"As @FtBraggNC’s Congressman, I was proud to welcome @VP Pence to our incredible community. The men and women who serve here are the tip of the spear, and @POTUS and his great administration get it. They have shown unparalleled support for our military community. 🇺🇸 https://t.co/LYQzjygTdW",Wed Jul 17 20:58:45 +0000 2019,1151597126956306432,pence,military community,bipartisan support,fort bragg,
reprichhudson,Glad to welcome @VP Pence to @FtBraggNC! https://t.co/AzMr8wXRuy,Wed Jul 17 18:04:18 +0000 2019,1151553226187116544,Pence,!,,,
reprichhudson,Joining @HelsinkiComm to examine the important role religious actors and interfaith institutions play in developing strategies to prevent and respond to hate crimes and violence at places of worship. https://t.co/NT9TD9OyVv,Tue Jul 16 15:48:52 +0000 2019,1151156753901522944,hate crimes,places of worship,interfaith institutions,religous actors,strategies
reprichhudson,"My wife Renee and I send our deepest condolences to SGM Sartor’s family and teammates. We pray they feel God’s comfort knowing SGM Sartor lived, served our country and died as a hero. We are forever grateful. 🇺🇸 https://t.co/76bb8dwlpz",Mon Jul 15 14:36:52 +0000 2019,1150776247062028289,SGM Sartor,bipartisan border bill,,,
reprichhudson,"House Ds aren’t just abandoning decades of bipartisan tradition– they’re abandoning our troops &amp; their families. This is shameful. I urge my Democrat colleagues to stop politicizing our national defense, think of our troops, &amp; work with us to bring a bipartisan bill to the floor. https://t.co/BLGdf5NpNG",Fri Jul 12 19:20:23 +0000 2019,1149760435303800833,national defense,bipartisan bill,troops' families,decades tradition,
reprichhudson,"Today, @HouseCommerce Subcommittee on Health is working on several bipartisan bills on #surprisebilling, improving public health and reauthorizing health programs. https://t.co/1BBCatUfJJ",Thu Jul 11 17:12:29 +0000 2019,1149365859883900928,surprise billing,public health,health programs,bipartisan bills,
reprichhudson,"""NC lawmaker Hudson continues fight to help Fort Bragg soldier battling cancer""

@ABC11_WTVD: https://t.co/2WbHzxRmba",Thu Jul 11 15:55:16 +0000 2019,1149346427350528000,Fort Bragg,Hudson,North Carolina,cancer,lawmaker
reprichhudson,"We’re fortunate to have students like Bryson who work to better themselves while serving our community and helping those in need. I was thrilled to present Bryson @theaward Gold Medal for his great achievement.

From @indytribune: https://t.co/mTXKEQUsQh",Wed Jul 10 13:49:28 +0000 2019,1148952379854852096,Bryson,Gold Medal,,,
reprichhudson,"Mr. Perot is admired here at Fort Bragg because of his tremendous humanitarian efforts &amp; support for our service members, veterans, POWs, &amp; their families. Renee &amp; I send our condolences to his family and pray they’ll find peace knowing Mr. Perot lived a full and selfless life.",Tue Jul 09 15:39:40 +0000 2019,1148617726237261824,fort bragg,bipartisan border bill,,,
reprichhudson,"I’m incredibly sad to hear about Ross Perot’s passing. Mr. Perot was an American entrepreneur, veteran and patriot who truly cared for those who wear America’s uniform.

https://t.co/saS1vDI73d",Tue Jul 09 15:38:59 +0000 2019,1148617554115616769,Ross Perot,American entrepreneur,Patriot,Veteran,America
reprichhudson,"Great to join Up Front with @CabarrusMag to talk about our gratitude for America's men &amp; women in uniform. We also discussed several issues facing service members &amp; veterans &amp; our ongoing work to ensure they receive the support &amp; health care they deserve.

https://t.co/7wG2WjshbP",Mon Jul 08 16:57:16 +0000 2019,1148274865948024838,military personnel,veterans' healthcare,service members,,
reprichhudson,"Happy #IndependenceDay! 

As we celebrate #FourthOfJuly, join me in praying for our service members, veterans and military families who dedicate their lives to defending our freedoms. https://t.co/q8VnibOtNh",Thu Jul 04 13:32:04 +0000 2019,1146773675779219456,Fourth of July,Independence Day,Service Members,Veterans,Military Families
reprichhudson,"I was shocked &amp; saddened to hear that my friend Sam passed away. Renee &amp; I are praying for his wife Shannon &amp; their family in this difficult time. Sam has always been a respected leader in Concord, and I appreciate his years of service to our community.

https://t.co/vt7uIJbmE2",Mon Jul 01 19:19:59 +0000 2019,1145774064461635584,Concord,Sam,Shannon,,
reprichhudson,"In this week's newsletter, I discussed celebrating Fourth of July, saying thank you to America's men and women in uniform, and ensuring our service members and veterans have the resources and support they deserve. 

⬇️⬇️⬇️

https://t.co/RTQqXSfdnT",Mon Jul 01 15:42:24 +0000 2019,1145719308816912384,Fourth of July,service members,veterans,,
reprichhudson,"I always enjoy visiting with constituents, hearing what's on your mind and showing you the @uscapitol, but these two church groups were especially great! 🇺🇸 https://t.co/KlXXnboENz",Fri Jun 28 18:35:03 +0000 2019,1144675595546177536,constituents,church groups,,,
reprichhudson,Finally.. Pelosi allowed a vote &amp; the House passed the Senate’s bipartisan border &amp; humanitarian aid bill. But this bill isn’t perfect.. we must act to fix our broken immigration system &amp; stop human trafficking &amp; the flow of drugs &amp; illegal immigration across our southern border.,Thu Jun 27 21:46:34 +0000 2019,1144361404746665989,border humanitarian aid,bipartisan border bill,broken immigration system,human trafficking,southern border
reprichhudson,Proud 🇺🇸 https://t.co/VFYJI4rgVL,Thu Jun 27 19:59:15 +0000 2019,1144334394703908865,united states,,,,
reprichhudson,"We must do everything we can to help those who are suffering from invisible wounds. If you are a service member or veteran in crisis or you’re concerned about someone, visit https://t.co/O6PsBqvGJO or call 1-800-273-8255 &amp; press 1. #PTSDAwarenessDay",Thu Jun 27 18:01:11 +0000 2019,1144304682329870338,PTSDAwarenessDay,invisible wounds,service member,veteran,
reprichhudson,"Many people struggle with #PTSD – particularly our service members. We’ve passed laws to address the tragedy of veteran suicide &amp; improve mental health care, but our work isn't done. I'll continue to advocate for better treatment, better resources &amp; better care. #PTSDAwarenessDay https://t.co/xLO1xvfSzm",Thu Jun 27 17:58:53 +0000 2019,1144304106217050113,veteran suicide,PTSD awareness day,mental health care,better resources,post traumatic stress
reprichhudson,"Yesterday the Senate overwhelmingly passed a bipartisan border and humanitarian aid bill, 84-8. I’m joining my colleagues to call on @SpeakerPelosi to allow a vote on this bipartisan bill so we can send it to @POTUS today and begin to address the crisis at our southern border. https://t.co/6fYocSU8J9",Thu Jun 27 15:52:37 +0000 2019,1144272330790776834,bipartisan border bill,southern border,humanitarian aid,bipartisan bill,border crisis
reprichhudson,"My wife Renee &amp; I join our country in mourning the deaths of Green Beret Master Sgt. Michael B. Riley &amp; Sgt. James G. Johnston. They will always be remembered for their sacrifice. We send our sincere condolences to their families &amp; friends, &amp; we pray God brings them comfort. https://t.co/mHREBztuZC",Thu Jun 27 14:20:55 +0000 2019,1144249253512040449,Green Berets,Michael B Riley,James G Johnston,,
reprichhudson,"Thank you @ABCGovAffairs @ABCCarolinas for presenting me with the Merit Shop Eagle Award. Growing up &amp; working summers for my dad who owned a residential construction company, I gained a great appreciation for the construction industry &amp; know the positive impact on our community. https://t.co/sXpL2IckuF",Wed Jun 26 18:25:32 +0000 2019,1143948424242520064,Merit Shop,Eagle Award,residential construction,community impact,
reprichhudson,Good luck to my good friend and House GOP Whip @SteveScalise who is taking the field tonight as Team @GOP's leadoff batter! #CongressionalBaseballGame #GeauxScalise https://t.co/mneI0jvYoQ,Wed Jun 26 15:48:02 +0000 2019,1143908789046976514,congressional baseball game,scalise,house gop whip,,
reprichhudson,"I’ve worked hard to restore coverage and benefits for our Blue Water Vietnam veterans, and I’m thrilled President @realDonaldTrump signed this bill into law.

https://t.co/4vYDeorEhz",Wed Jun 26 14:24:46 +0000 2019,1143887835193323522,Blue Water Vietnam,Vietnam veterans,President signed,bipartisan bill,
reprichhudson,"It was an honor to meet the 2019 Stars of Life from @MecklenburgEMS - Joshua, Cynthia and Justin.  I will continue to support all of our EMS professionals and the critical role they play in our health care system. #EMS #SupportEMS @amerambassoc https://t.co/krLJdZQF3K",Tue Jun 25 18:38:59 +0000 2019,1143589420030988289,ems professionals,stars of life,ems support,,
reprichhudson,"However, I urge a democratic &amp; peaceful resolution to the current tensions. I’ll continue to support #Georgia’s democratic institutions and the fundamental freedoms of the Georgian people.",Fri Jun 21 20:21:55 +0000 2019,1142165774112628737,georgian people,democratic resolution,georgia's democratic,fundamental freedoms,
reprichhudson,"As a @HelsinkiComm member, I’m following events at the Georgian Parliament in Tbilisi. Given #Russia’s illegal occupation of sovereign Georgian territory, I get why emotions are high.",Fri Jun 21 20:21:41 +0000 2019,1142165716008951808,Georgian Parliament,Tbilisi,Georgia,Russia,Occupation
reprichhudson,"This is a great win for religious liberty, and I'm proud to have been a part of the amicus brief led by @SteveScalise. The #PeaceCross will continue to stand – as it has for decades – to honor the brave Americans who made the ultimate sacrifice in #WWI. https://t.co/q466EmcRRD",Thu Jun 20 21:07:30 +0000 2019,1141814859010588672,PeaceCross,WWI,amicus brief,religious liberty,
reprichhudson,"As a member of @theaward board, I was honored to speak to the 2019 Gold Medalists and their families this afternoon. This incredible award encourages youth to be well rounded, civically engaged, and active citizens. 🥇 https://t.co/Nmfi31Gvhu",Thu Jun 20 19:27:37 +0000 2019,1141789720223133697,gold medalists,well rounded,civic engagement,,
reprichhudson,"Job training programs at @RCCCedu &amp; other community colleges are 1 of the greatest assets we have for job growth. I’ll continue to work to ensure students, community colleges, &amp; high schools have the access &amp; flexibility to implement these great programs.

https://t.co/U9pYxyEnqV",Thu Jun 20 15:02:48 +0000 2019,1141723075458850818,job training,community colleges,job growth,,
reprichhudson,"Glad the House supported my amendment to increase funding to study &amp; tackle the root causes of school violence, including the effectiveness of grants authorized under the STOP School Violence Act. I want my son &amp; all of America’s children to feel safe in our schools. https://t.co/89Vm9q7PrU",Wed Jun 19 21:53:07 +0000 2019,1141463949470306304,school violence,stop school violence act,funding increase,school safety,bipartisan support
reprichhudson,"Great to meet with Annie and Grace, two constituents from Southern Pines, in between a committee hearing and votes. #NC08 #ncpol https://t.co/T4I06azogK",Wed Jun 19 18:01:33 +0000 2019,1141405674494185477,NC08,Southern Pines,North Carolina,,
reprichhudson,"⬇️ Please share ⬇️

The Cape Fear Valley Blood Donor Center says critical Type O blood could be depleted within days, and people are being urged to donate Type O Blood.

From @fayobserver: https://t.co/qwB8KSEWw2",Wed Jun 19 14:04:20 +0000 2019,1141345976415870976,Cape Fear Valley,Blood Donor Center,Type O blood,depleted,
reprichhudson,Being Lane’s Dad is the greatest blessing... Happy Father's Day to all the incredible dads out there! #FathersDay https://t.co/2aFzM1wzMt,Sun Jun 16 13:34:42 +0000 2019,1140251354042122240,FathersDay,,,,
reprichhudson,"Happy birthday, President @realDonaldTrump! 👍🏼 https://t.co/QcP9m2ejYR",Fri Jun 14 14:51:20 +0000 2019,1139545866367381504,president,birthday,,,
reprichhudson,"As Vice-Chair of the @HelsinkiComm Ad Hoc Committee on Countering Terrorism, I’m holding today’s hearing to further explore Russia’s #counterterrorism policies and the implications for U.S. national security. https://t.co/lDIPzKO1fy",Wed Jun 12 15:40:35 +0000 2019,1138833480887033856,counterterrorism policies,Russia's policies,U.S. national security,Ad Hoc Committee,Countering Terrorism
reprichhudson,Looking forward to chairing this important hearing today at 10:30 AM. Tune in here ⬇️⬇️⬇️ https://t.co/G36N42KEYF,Wed Jun 12 13:04:30 +0000 2019,1138794202890981376,hearing,,,,
reprichhudson,Congrats to Command Sgt. Maj. Michael Grinston for his selection as the 16th Sergeant Major of the @USArmy. He has done a tremendous job leading @FORSCOM @FtBraggNC. I look forward to continuing to work with him to ensure our soldiers are ready &amp; military families are supported. https://t.co/qrLsVpU3Qu,Tue Jun 11 21:43:10 +0000 2019,1138562340142616576,Sergeant Major,Fort Bragg,Military Families,US Army,Soldiers
reprichhudson,"It is a privilege to nominate incredible high school students like Lance to our service academies. I applaud Lance for his hard work and dedication to serving our country, receiving a quality education, &amp; joining the honorable ranks of our Armed Forces.

https://t.co/quwj5nwQy0",Tue Jun 11 15:29:23 +0000 2019,1138468277838065665,service academies,high school students,armed forces,quality education,
reprichhudson,Behind the scenes of today’s @uscapitol tour with @Team_Penske and @IndyCar #Indy500 winner @simonpagenaud. 🏆🏁 https://t.co/hKRXVDcijm,Mon Jun 10 17:05:21 +0000 2019,1138130039571144705,indy 500,indianapolis,,,
reprichhudson,When real life superheroes show up to your superhero party 👍🏼👨🏿‍🚒👩🏼‍🚒 https://t.co/h55eCqopjM,Mon Jun 10 14:29:59 +0000 2019,1138090939761811456,superhero party,,,,
reprichhudson,"Did you know #NationalDonutDay was created to honor the @SalvationArmyUS Donut Lassies who served donuts to soldiers during #WWI? Makes today even sweeter! 

I celebrated with some of my favorites: @KrispyKreme, @DonutsDowntown, &amp; Southern Angel Donut Co. Don’t worry – I shared! https://t.co/xC7tK9xQXR",Fri Jun 07 17:58:50 +0000 2019,1137056335462326272,World War I,NationalDonutDay,Donut Lassies,WWI,
reprichhudson,"Humbled to join @realDonaldTrump in paying tribute to a great American and #WWII hero! 🇺🇸

https://t.co/126LmuR9ch

#GreatestGeneration #DDay75 #DDay",Fri Jun 07 15:39:52 +0000 2019,1137021364659982336,WWII,DDay75,DDay,Greatest Generation,
reprichhudson,Enjoyed catching up with @PatMcCroryNC and @BoThompsonWBT this morning on @wbtradio... but I think they might have enjoyed the @krispykreme and @DonutsDowntown donuts I brought more. #SugarHigh #NationalDonutDay https://t.co/Jr98sSiXUX,Fri Jun 07 12:38:40 +0000 2019,1136975761401888768,NationalDonutDay,SugarHigh,,,
reprichhudson,"You'll want to read this! #DDay was a major turning point in #WWII and the beginning of the end for Nazi Germany. It also marks an incredible moment in the @82ndABNDiv's legacy, when paratroopers landed behind enemy lines &amp; successfully liberated St. Mere Eglise. #AATW #DDay75 https://t.co/MZbR4WOFzK",Thu Jun 06 16:26:00 +0000 2019,1136670587311546370,D-Day,Nazi Germany,WWII,St Mere Eglise,paratroopers
reprichhudson,Terrible news and a young life taken too soon. Prayers for this cadet's loved ones and a full recovery for those who were injured. 🇺🇸 https://t.co/01oVSsxTHO,Thu Jun 06 16:19:46 +0000 2019,1136669014518915074,cadet,fort bragg,,,
reprichhudson,"75 years ago, Ray sacrificed on that beach. He saved countless men. And he never once gave up. I applaud Ray for his tremendous service, &amp; I thank him for his selfless actions. I am so proud to represent him in Congress. #DDay #GreatestGeneration 🇺🇸

https://t.co/eP5XDqmRi6",Thu Jun 06 13:46:09 +0000 2019,1136630356319395842,D-Day,Greatest Generation,,,
reprichhudson,"There are American heroes, and then there are American giants. Ray – along with the other men &amp; women of the #GreatestGeneration – is a giant. Every generation owes an enormous debt to Ray &amp; those brave patriots who changed the course of history &amp; defended our freedom. #DDay",Thu Jun 06 13:42:55 +0000 2019,1136629545388453888,Greatest Generation,D-Day,World War,,
reprichhudson,"I am humbled to pay tribute to Arnold Raymond “Ray” Lambert, a World War II veteran, one of the few surviving warriors who stormed the beaches of Normandy 75 years ago today, and a Moore County constituent. #DDay75 #DDay #GreatestGeneration https://t.co/6y5z1f0jnP",Thu Jun 06 13:41:44 +0000 2019,1136629247190212608,World War II,Normandy,Greatest Generation,DDay75,Moore County
reprichhudson,"I am proud to help lead this bipartisan effort to strengthen our nation’s trauma care and save more lives on and off the battlefield, and I look forward to President Trump signing this bipartisan bill into law.

https://t.co/fvifigDQPg https://t.co/BVou3y7N3O",Wed Jun 05 19:50:52 +0000 2019,1136359752987009024,trauma care,bipartisan bill,President Trump,battlefield,
reprichhudson,"NC is one of the finalists to be the new home of two offices from the @USDA — a decision that would mean hundreds of jobs. I was proud to join a letter with my colleagues in Congress to advocate for our state as THE #1 choice!

https://t.co/WDR2AMDWd4",Wed Jun 05 13:53:32 +0000 2019,1136269829298708481,Fort Bragg,Bipartisan Border Bill,,,
reprichhudson,"We have to keep our promises to our veterans who put their lives on the line for our country. I believe veterans deserve the choice to see any doctor they want to, and this bill is a great step towards achieving that goal.

https://t.co/U6mjfeoXif",Tue Jun 04 21:10:57 +0000 2019,1136017517925851136,veteran healthcare,choice of doctors,veterans' promises,,
reprichhudson,"As @FtBraggNC’s Congressman, I’ve worked hard to be a partner for NC’s military community &amp; defense related small businesses &amp; contractors @NCDBA. I strive to be someone you can count on. I look forward to continuing our partnership for the betterment &amp; defense of our country.",Tue Jun 04 14:50:27 +0000 2019,1135921762636447745,military community,defense contractors,NC's defense,,
reprichhudson,"Enjoyed speaking with members of @NCDBA. Our state is uniquely positioned as THE military powerhouse. Combined with high-ranking commands and installations, we have a strong military and defense sector economy, a high-skilled workforce, and innovative R&amp;D and technology. https://t.co/71jktmqWuF",Tue Jun 04 14:48:39 +0000 2019,1135921311400620034,military powerhouse,high-skilled workforce,innovative R D,,
reprichhudson,Can't argue with that math. 🐶🧢⚾️ https://t.co/aR4Wfz0crR,Tue Jun 04 13:21:07 +0000 2019,1135899281003560960,none,,,,
reprichhudson,"D-Day was a major turning point in WWII and the beginning of the end for Nazi Germany. It also marks an incredible moment in the @82ndABNDiv's legacy, when paratroopers landed behind enemy lines and successfully liberated Sainte-Mère-Église. #AATW #DDay75 https://t.co/APiBAyBMVn",Tue Jun 04 12:57:40 +0000 2019,1135893380964261889,D-Day,WWII,Nazi Germany,Sainte-Mère-Église,paratroopers
reprichhudson,"Excited to be at the grand opening of the Amazon Fulfillment Center here in Kannapolis. This center is 1-million-square-feet (that’s 28 football fields!) and it employs more than 1,000 full-time workers! https://t.co/jr5thSJWEk",Fri May 31 15:18:56 +0000 2019,1134479378212110338,Amazon Fulfillment Center,Kannapolis,North Carolina,,
reprichhudson,"Please share - Missing Concord teen, 15, last seen walking to bus stop; police looking for Red Toyota Sequoia. My wife Renee and I are praying for this young girl and her family. https://t.co/jCWPWuS6wD",Thu May 30 15:25:01 +0000 2019,1134118524903968774,Concord teen,bus stop,Red Toyota Sequoia,police search,
reprichhudson,"I was humbled to participate in today’s Memorial Day Ceremony in Kannapolis and present a flag flown over the U.S. Capitol to Cabarrus County resident Dorothy Cole, the oldest living female Marine from World War II. 🇺🇸 https://t.co/oUBXCBmWn9",Mon May 27 18:54:47 +0000 2019,1133084151089967105,Memorial Day,U.S. Capitol,World War II,Marine,Kannapolis
reprichhudson,"We are thankful every day for our service members, veterans &amp; military families. Memorial Day is a somber time to pay tribute to those who died while serving our country. It is a time of reflection &amp; gratitude as we remember them. We also pray for the families they left behind. https://t.co/LzZXfC76eE",Mon May 27 11:47:46 +0000 2019,1132976687195594754,memorial day,service members,veterans,military families,
reprichhudson,"I was honored to introduce @VP Pence to SFC Stayskal, a Green Beret from #NC08. I recently intro'd the bipartisan SFC Richard Stayskal Military Medical Accountability Act to ensure our service members receive the quality health care they were promised. Story by @MattGrantFOX46 https://t.co/gsd0g67rBG",Thu May 23 17:25:52 +0000 2019,1131612221434408961,Green Beret,NC08,SFC Richard Stayskal,bipartisan bill,military medical accountability
reprichhudson,Glad to have @VP Pence back in the North Carolina at Parkdale Mills in Monroe to speak with workers and highlight the importance of the textile industry in our state! https://t.co/rk4rvoA5eh,Wed May 22 21:30:11 +0000 2019,1131311319108472834,North Carolina,Parkdale Mills,textile industry,,
reprichhudson,Took @VP Pence on some good old-fashioned retail politicking in my old stomping grounds after our visit to Parkdale Mills. Good to be back in Union County today! https://t.co/5q3lXDcAbt,Wed May 22 20:39:12 +0000 2019,1131298487839207424,Pence,Union County,Parkdale Mills,,
reprichhudson,"As the Airborne spirit takes flight this week, I ask my fellow Americans to join me in praying for our service members who are currently deployed and for their families. These heroes put country before self, and we are so grateful. #AAW2019 #AATW #82nd #USArmy",Wed May 22 19:58:55 +0000 2019,1131288349032030208,Airborne,USArmy,82nd,,
reprichhudson,"As the old saying goes, “when the President dials 911, the phone rings at @FtBraggNC.” I am so proud of the @82ndABNDiv’s legacy and of our paratroopers and their families. Airborne – all the way! #AAW2019 #AATW #82nd #USArmy",Wed May 22 19:58:38 +0000 2019,1131288279066828802,fort bragg,bipartisan border bill,,,
reprichhudson,"I’m proud to join our community in commemorating All American Week, the annual celebration of the @82ndABNDiv’s mission and the incredible paratroopers who serve to uphold it. There is ready... and then there is Airborne ready. #AAW2019 #AATW #82nd #USArmy https://t.co/PK3U1Q248U",Wed May 22 19:57:53 +0000 2019,1131288087852670977,All American Week,Airborne Ready,82nd US Army,Fort Bragg,USArmy
reprichhudson,Boarding Air Force 2 to head down to North Carolina with @VP Mike Pence. https://t.co/IpBoNvom64,Wed May 22 14:17:25 +0000 2019,1131202408250527744,Air Force 2,North Carolina,Mike Pence,,
reprichhudson,"Congrats to the @pcsoccernc Lady Patriots who are the 2019 West Region Champions! 

We’re going to the ‘SHIP!  #PCPR1DE ⚽️🏆 https://t.co/bJvGfZqcn3",Wed May 22 13:48:31 +0000 2019,1131195134253645824,West Region,Champions,Lady Patriots,,
reprichhudson,"100 years ago today, the House of Representatives passed the 19th Amendment, granting women the right to vote. We celebrate the courageous women who led the suffrage movement &amp; strengthened our democracy.  #womensvote100 https://t.co/xsZn2RdrZw",Tue May 21 17:45:42 +0000 2019,1130892437394776065,19th Amendment,women's suffrage,House of Representatives,womensvote,
reprichhudson,@zsquaredmama @GKButterfield @RepHolding You’re more than welcome to stop by the office any time - 2112 Rayburn House Office Building! Feel free to give us a call at 202-225-3715 if you need anything in the meantime.,Tue May 21 01:45:54 +0000 2019,1130650894343835650,rayburn house,congressional office,dc phone number,,
reprichhudson,@Clemson02AllIn Thanks for the tweet! I am a cosponsor of H.R. 1327.,Tue May 21 01:37:42 +0000 2019,1130648833342484492,H R 1327,,,,
reprichhudson,@sefriedman Thanks for the tweet! I am a cosponsor of H.R. 1327.,Tue May 21 01:36:43 +0000 2019,1130648584326656001,H R 1327,cosponsor,,,
reprichhudson,"Google the phrase, “political pothole.” What’s the first thing you see? I bet the top story is last week’s headline from the Washington Post, “Democrats are putting a political pothole in the way of bipartisan drug pricing bills.” ➡️ https://t.co/0mrOBwtqij",Mon May 20 19:45:42 +0000 2019,1130560246085312512,bipartisan drug pricing,democrats drug pricing,politcal pothole,bipartisan border bill,washington post
reprichhudson,"Our forefathers resisted British occupation during the Revolutionary War, prompting British Commander General Cornwallis to describe us as ""a hornet’s nest of rebellion."" I join all of NC in celebrating this remarkable moment in our history. #FirstinFreedom #MeckDecDay",Mon May 20 13:16:12 +0000 2019,1130462224781389824,Revolutionary War,British occupation,Meck Dec Day,First in Freedom,NC
reprichhudson,"Did you know today is the anniversary of the Mecklenburg Declaration of Independence? As it’s proudly displayed on our state’s flag, #MeckDecDay marks a defining moment in our history when brave North Carolinians became the first Americans to declare independence. #FirstinFreedom https://t.co/p6GiNkyqrm",Mon May 20 13:15:16 +0000 2019,1130461990923722754,MeckDecDay,Mecklenburg Declaration,North Carolina,Independence,First in Freedom
reprichhudson,"This bipartisan legislation improves oversight and brings much-needed transparency and accountability, and it’s a step in the right direction to make things right for military families.",Fri May 17 14:42:50 +0000 2019,1129396864133029888,military families,oversight,transparency accountability,bipartisan legislation,
reprichhudson,"I was outraged when I learned of poor housing conditions on military bases – including @FtBraggNC. It's unacceptable for service members &amp; their families to have anything less than high-quality, safe homes. Just intro'd legislation to address this problem: https://t.co/Qfk7Koi9zi",Fri May 17 14:42:16 +0000 2019,1129396722852139008,military bases,poor housing conditions,service members,high-quality homes,bipartisan legislation
reprichhudson,"""We've spent a long time coming to agreement on the drug pricing legislation. We can easily pass that out of the House... but by packaging it with poison pill legislation, they know we can't support. It just shows they're not serious about legislating.""

https://t.co/vxAb9Tl58H",Thu May 16 20:27:44 +0000 2019,1129121276050706450,drug pricing,legislation,House,poison pill,
reprichhudson,Actress Glenn Close is here today advocating for mental health reform and policies to combat the addiction crisis - two important priorities for me. #BreakTheStigma #MentalHealthAwarenessMonth https://t.co/4hW9oB9inK,Thu May 16 18:40:32 +0000 2019,1129094296999739392,Mental Health Reform,Glenn Close,Mental Health Awareness Month,Break The Stigma,Addiction Crisis
reprichhudson,"This headline says it all... House Democrats are putting politics above people and showing they're not serious about legislating. 

https://t.co/oIFeVUnESP",Thu May 16 15:49:58 +0000 2019,1129051370626211840,house democrats,legislating,bipartisan,,
reprichhudson,What a #WONDERful act of service by these @ALBrownHS students. #WonderNation https://t.co/qwZEZYj4a6,Thu May 16 15:24:13 +0000 2019,1129044893328904192,WonderNation,,,,
reprichhudson,"I’ve worked hard to lower prescription drug costs. I’m incredibly disappointed House Democrats are tarnishing this bipartisan work &amp; “putting a political pothole in the way.” This is a disservice to patients, seniors &amp; families. 

https://t.co/jUPLC0XmOB",Thu May 16 14:34:23 +0000 2019,1129032349214216194,prescription drug costs,House Democrats,bipartisan work,seniors families,
